,f1,acc,prec,kappa,recall
4,0.7562408223201175,0.759942154736081,0.7663690476190477,0.5198549387944611,0.7463768115942029
ball,0.7607726597325407,0.767172812725958,0.7781155015197568,0.5342314168871782,0.7441860465116279
pier,0.7603930461073318,0.7707881417208966,0.7921259842519685,0.5413866220896721,0.7311046511627907
death,0.7714915503306393,0.7751265365148229,0.7789317507418397,0.5501789921845832,0.7641921397379913
alone,0.7685459940652819,0.7744034707158352,0.783661119515885,0.5486773980984656,0.7540029112081513
poland,0.7498165810711666,0.7534345625451916,0.7559171597633136,0.506797182612515,0.7438136826783115
sunday,0.7731725697061039,0.7823571945047,0.8015625,0.5645033220662405,0.7467248908296943
speed,0.7606901725431358,0.7693420101229211,0.7848297213622291,0.5384864033642456,0.7379912663755459
harbor,0.7450381679389313,0.7584960231381056,0.78330658105939,0.5166804781276682,0.710334788937409
stream,0.8055964653902798,0.8091106290672451,0.8152011922503726,0.6181475903614457,0.7962154294032023
mount,0.7732732732732732,0.7816341287057122,0.7972136222910217,0.563039575495583,0.750728862973761
fountain,0.7397881996974282,0.7512653651482285,0.7688679245283019,0.5022129588358267,0.7128279883381924
southwest,0.7267267267267268,0.7368040491684743,0.7492260061919505,0.4733324684781198,0.7055393586005831
game,0.7239819004524887,0.735357917570499,0.748829953198128,0.4703522488510895,0.7007299270072993
bush,0.759493670886076,0.7664497469269703,0.7738998482549317,0.5326612662772778,0.7456140350877193
nederland,0.7516778523489932,0.7592190889370932,0.7671232876712328,0.518177452614333,0.7368421052631579
drawing,0.7565152643335815,0.7635574837310195,0.7708649468892261,0.5268737896986684,0.7426900584795322
main,0.7291822955738934,0.7389732465654375,0.7476923076923077,0.4775610873980656,0.7115666178623719
400,0.7579102281089037,0.7621113521330442,0.7618343195266272,0.5240915780148334,0.7540263543191801
fly,0.7837226827430294,0.7924801156905278,0.8074534161490683,0.5846094918354809,0.7613469985358712
austin,0.734966592427617,0.7418655097613883,0.7454819277108434,0.48347852286434334,0.7247437774524158
norway,0.7654320987654321,0.7664497469269703,0.7593659942363112,0.5329202509026159,0.7715959004392386
grain,0.7571214392803598,0.7657266811279827,0.7745398773006135,0.5310853772627288,0.7404692082111437
pole,0.7535795026375284,0.7635574837310195,0.7751937984496124,0.5266776979908128,0.7331378299120235
rose,0.7679516250944823,0.7780187997107737,0.7925117004680188,0.5555917248020431,0.7448680351906158
boats,0.7641653905053598,0.777295733911786,0.7984,0.5539401098279697,0.7327459618208517
board,0.7409594095940959,0.7462039045553145,0.744807121661721,0.49221267875691577,0.737151248164464
birthday,0.7588813303099017,0.7693420101229211,0.7819314641744548,0.5381820465715139,0.737151248164464
plane,0.7601199400299851,0.7686189443239335,0.7740458015267175,0.5367959205888018,0.7466863033873343
analogue,0.740074906367041,0.7490961677512654,0.7519025875190258,0.4977030875652728,0.7286135693215339
sidewalk,0.7384155455904334,0.7469269703543022,0.7484848484848485,0.493403412266325,0.7286135693215339
greece,0.7459138187221398,0.7527114967462039,0.7514970059880239,0.5050946416800075,0.7404129793510325
tracks,0.7787742899850524,0.7859725234996384,0.7893939393939394,0.5715640286595206,0.7684365781710915
estate,0.771822358346095,0.7845263919016631,0.802547770700637,0.5682788095911504,0.7433628318584071
angeles,0.7325162220620044,0.7317425885755604,0.7165021156558533,0.4637501214965871,0.7492625368731564
francisco,0.7207207207207207,0.7310195227765727,0.732824427480916,0.4614429605374726,0.7090103397341211
dirty,0.7624720774385705,0.7693420101229211,0.7687687687687688,0.5383270284270174,0.7562776957163959
plastic,0.743455497382199,0.7519884309472162,0.7518910741301059,0.5034859781096693,0.735207100591716
boys,0.7395993836671801,0.7556037599421548,0.7717041800643086,0.5101038577222565,0.7100591715976331
polaroid,0.7359760658189978,0.7447577729573391,0.7443267776096822,0.48901035064930987,0.727810650887574
glasses,0.7451274362818591,0.7541576283441793,0.7541729893778453,0.5077632339270909,0.7362962962962963
philadelphia,0.7533234859675036,0.7584960231381056,0.75,0.5167886754635742,0.7566765578635015
union,0.7207345065034431,0.7360809833694866,0.7440758293838863,0.471029459382142,0.6988130563798219
coffee,0.770893371757925,0.7700650759219089,0.7492997198879552,0.5405085192011133,0.7937685459940653
paper,0.7206661619984861,0.7331887201735358,0.7345679012345679,0.46547785511162787,0.7072808320950966
round,0.7622699386503067,0.7758496023138105,0.7863924050632911,0.5506087897159819,0.7395833333333334
mono,0.7769347496206374,0.7874186550976139,0.7925696594427245,0.5740469530783494,0.7619047619047619
va,0.7198142414860682,0.7382501807664498,0.75,0.47496948265230365,0.6919642857142857
studio,0.7661469933184855,0.7722342733188721,0.7633136094674556,0.5441656403779811,0.7690014903129657
mywinners,0.8070175438596491,0.8170643528561099,0.8265625,0.6333191159811074,0.7883755588673621
scan,0.7476923076923077,0.7628344179320318,0.7714285714285715,0.5243535703051274,0.7253731343283583
copyright,0.7624140565317035,0.7751265365148229,0.7809076682316118,0.5491889104452738,0.744776119402985
movie,0.7318894697535474,0.7404193781634129,0.7324364723467862,0.4803130073259039,0.7313432835820896
postcard,0.7244340359094459,0.7447577729573391,0.7581699346405228,0.48759875184593926,0.6935724962630793
tennessee,0.6943573667711599,0.7180043383947939,0.7286184210526315,0.43368471892652405,0.6631736526946108
with,0.7363566487317448,0.7519884309472162,0.7567140600315956,0.5025466786214274,0.7170658682634731
waves,0.7808946171341924,0.7910339840925524,0.7910906298003072,0.5812344607995674,0.7709580838323353
super,0.7358062074186222,0.74765003615329,0.7442572741194488,0.4943433189982557,0.7275449101796407
tunnel,0.767511177347243,0.7744034707158352,0.762962962962963,0.5484251770733912,0.7721139430284858
clock,0.7761194029850746,0.7830802603036876,0.7703703703703704,0.5657634462620491,0.7819548872180451
commercial,0.7339181286549709,0.7368040491684743,0.7140825035561877,0.4739433661388113,0.7548872180451128
d5000,0.7663257277734068,0.7852494577006508,0.8023064250411862,0.5684014975354551,0.733433734939759
machine,0.7300435413642961,0.7310195227765727,0.7044817927170869,0.46273426192221656,0.7575301204819277
feet,0.7604562737642584,0.7722342733188721,0.7680491551459293,0.543405054097139,0.7530120481927711
northcarolina,0.7027439024390243,0.7180043383947939,0.7103235747303543,0.43457641190789187,0.6953242835595776
ride,0.7183863460046548,0.737527114967462,0.7396166134185304,0.47299684761145944,0.698340874811463
camp,0.7464258841234009,0.7563268257411424,0.7447447447447447,0.5119118307744025,0.7481146304675717
anawesomeshot,0.8130333591931729,0.8257411424439624,0.835725677830941,0.6500899175781779,0.7915407854984894
philippines,0.699367088607595,0.725234996384671,0.7330016583747927,0.4473503227312592,0.6686838124054463
stones,0.8102796674225247,0.8185104844540854,0.8096676737160121,0.6363366839698494,0.81089258698941
famous,0.7233704292527822,0.7483731019522777,0.7621440536013401,0.4936943760651392,0.6883509833585476
human,0.7394957983193278,0.7534345625451916,0.7469135802469136,0.505497063514283,0.7322239031770046
german,0.758039816232772,0.7715112075198843,0.7674418604651163,0.5416629960105211,0.7488653555219364
aplusphoto,0.7898383371824481,0.8026030368763557,0.8028169014084507,0.6038359476074906,0.7772727272727272
factory,0.7353383458646617,0.7454808387563269,0.7298507462686568,0.49023968837370024,0.740909090909091
by,0.750575594781274,0.765003615328995,0.7593167701863354,0.5284849730974963,0.7420333839150227
alberta,0.6901408450704226,0.7136659436008677,0.7112903225806452,0.4244488489355308,0.6702127659574468
md,0.7161639597834493,0.7346348517715112,0.7291338582677165,0.4671605643324981,0.7036474164133738
overcast,0.7505827505827507,0.7678958785249458,0.7666666666666667,0.5337227878134778,0.7351598173515982
poster,0.752994011976048,0.7613882863340564,0.7407952871870398,0.5223457898735926,0.7656012176560122
artistic,0.7480438184663536,0.767172812725958,0.7697262479871175,0.5319649388321352,0.7275494672754946
zoom,0.755485893416928,0.7744034707158352,0.778675282714055,0.5464344052927339,0.7336377473363774
richmond,0.7198748043818466,0.7411424439624006,0.7407407407407407,0.47963803758355406,0.700152207001522
ruin,0.776325903151422,0.789587852494577,0.7841614906832298,0.5777285332510727,0.7686453576864536
james,0.7466456195737964,0.7678958785249458,0.7741407528641571,0.5330007815877698,0.7210365853658537
5,0.7341576506955177,0.7512653651482285,0.7445141065830722,0.5005469552126616,0.7240853658536586
fishing,0.7776049766718507,0.7932031814895155,0.7923930269413629,0.5844874822465564,0.7633587786259542
chairs,0.7374810318664644,0.749819233550253,0.7330316742081447,0.4985475717411534,0.7419847328244275
eastern,0.740566037735849,0.7613882863340564,0.7633711507293355,0.5200471970941396,0.7190839694656489
houston,0.7228017883755589,0.7310195227765727,0.7059679767103348,0.4618541949088718,0.7404580152671756
xsi,0.7271305707584049,0.74765003615329,0.7451923076923077,0.4926861723093029,0.7099236641221374
manchester,0.755422587883321,0.7635574837310195,0.739385065885798,0.5267995316556224,0.77217125382263
unique,0.7389620449264137,0.7563268257411424,0.7488226059654631,0.510561749611712,0.7293577981651376
jersey,0.7154088050314465,0.7382501807664498,0.7350565428109854,0.4734265778396697,0.6967840735068913
legs,0.7691119691119692,0.7838033261026753,0.7757009345794392,0.5658764578235085,0.7626339969372129
cruise,0.7210231814548361,0.74765003615329,0.754180602006689,0.49147179830268295,0.6906584992343032
urbex,0.7592592592592593,0.7744034707158352,0.7651632970451011,0.5470381373279727,0.7534456355283308
route,0.7627765064836004,0.7751265365148229,0.7587253414264037,0.5490423862181621,0.7668711656441718
lomography,0.757716049382716,0.7729573391178597,0.7624223602484472,0.5441259216957521,0.7530674846625767
attraction,0.7326416600159618,0.7577729573391179,0.7624584717607974,0.5118454949188438,0.7050691244239631
allrightsreserved,0.7426294820717131,0.7664497469269703,0.7715231788079471,0.5294119506097927,0.7158218125960062
ghost,0.7473524962178517,0.7584960231381056,0.7351190476190477,0.5161732266639852,0.76
wine,0.7568389057750761,0.7686189443239335,0.7477477477477478,0.5362114714722268,0.7661538461538462
1855mm,0.751987281399046,0.7744034707158352,0.7754098360655738,0.5454367324235663,0.7299382716049383
guy,0.7427677873338546,0.7621113521330442,0.7527733755942948,0.5215896437842833,0.7330246913580247
